id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
1.7927579734836824e+19,1,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,53de0284,d9b5648e,0f2161f8,a99f214a,f1205654,2ea4f8ba,1,0,21611,320,50,2480,3,297,100111,61
3.708344296069982e+18,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,0cb6ed15,7fdd04d2,1,0,15708,320,50,1722,0,35,100083,79
8.704327944060762e+17,0,14102101,1005,1,0eb72673,d2f72222,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,1cbc310b,36b8f4c5,1,0,19772,320,50,2227,0,687,100077,48
1.363508575522528e+19,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,1779deee,2347f47a,f95efa07,a99f214a,be09d6e8,1b96ccba,1,0,21647,320,50,2487,1,547,100034,51
9.59833482459386e+18,0,14102102,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,86212f90,ecb851b2,1,0,15701,320,50,1722,0,35,-1,79
1.6976558138271193e+19,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,a52115fb,ae637522,8ded1f7a,a99f214a,83b14599,36b67a2a,1,2,21611,320,50,2480,3,297,100111,61
1.0466440801336548e+18,1,14102102,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ac77b71a,517bef98,1,0,15699,320,50,1722,0,35,-1,79
5.957733629331091e+18,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,8fc52ce1,93a90f85,1,0,21611,320,50,2480,3,297,100111,61
9.640303940117662e+18,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,3c4b944d,2347f47a,0f2161f8,2fa5489f,43f05808,f063b808,1,0,16403,320,50,1835,1,431,-1,71
7.409299638903645e+18,1,14102101,1005,0,89a490f5,ce307e01,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,aa472af1,68b6db2c,1,0,19772,320,50,2227,0,687,100074,48
1.1853736539814007e+19,0,14102103,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,3a68216c,8a4875bd,1,0,16208,320,50,1800,3,167,-1,23
7.648332352105522e+18,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,39947756,2347f47a,cef3e649,8d32d760,ea939904,cdf6ea96,1,2,21647,320,50,2487,1,547,-1,51
7.324579967047076e+18,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,66a5f0f3,d9b5648e,cef3e649,a99f214a,60e291ab,9b5ce758,1,0,21611,320,50,2480,3,297,100111,61
7.850892019285069e+18,0,14102101,1005,0,030440fe,08ba7db9,76b2941d,ecad2386,7801e8d9,07d7df22,a99f214a,0d88586a,4ea23a13,1,0,20596,320,50,2161,0,35,-1,157
1.0729816909907857e+18,1,14102100,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,05f455d7,5096d134,1,0,17614,320,50,1993,2,1063,100084,33
4.5086004930176174e+18,0,14102102,1010,1,85f751fd,c4e18dd6,50e219e0,49227c50,7801e8d9,0f2161f8,5dde19a8,4d4cc780,ac95e7a1,4,3,21647,320,50,2487,1,547,-1,51
6.85961652180605e+18,0,14102101,1005,1,e8f79e60,c4342784,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,67983ee8,fce66524,1,0,6563,320,50,572,2,39,-1,32
3.2184718296469294e+18,0,14102101,1005,0,85f751fd,c4e18dd6,50e219e0,03528b27,2347f47a,8ded1f7a,a99f214a,313dae81,1df52df3,1,0,6557,320,50,571,2,39,100050,32
